image,idx,digit,f1_area_ratio,f2_rect_fill_ratio,f3_bbox_aspect,f4_holes,f5_euler,f6_compactness_p2_over_a,f7_sym_left_right,f8_sym_up_down,f9_thickness_norm,f10_proj_row_over_col,f11_hu1_log,f12_hu2_log,f13_hu3_log,f14_hu4_log
im4,4,9,0.03622448816895485,0.45079365372657776,0.7142857313156128,2.0,-1.0,30.676055908203125,0.4791666567325592,0.3333333432674408,0.25304388999938965,0.5499999523162842,-0.5499140024185181,-1.57882559299469,-2.0783863067626953,-2.6654107570648193
im5,0,4,0.03265305981040001,0.5378151535987854,0.8235294222831726,2.0,-1.0,26.28125,0.5421686768531799,0.5147929191589355,0.2605920135974884,0.9999998807907104,-0.6594322919845581,-2.1466689109802246,-2.8799352645874023,-4.143082141876221
im5,1,1,0.01403061207383871,0.7051281929016113,0.4615384638309479,0.0,1.0,15.290908813476562,0.6666666865348816,0.692307710647583,0.3759446144104004,0.4999999701976776,-0.5918620228767395,-1.447379469871521,-4.628391265869141,-5.953990936279297
im5,2,8,0.03801020234823227,0.5228070020675659,0.7894737124443054,3.0,-2.0,34.79194641113281,0.3545454442501068,0.3607305884361267,0.2311626523733139,0.8571427464485168,-0.5839205384254456,-1.5927404165267944,-4.190310001373291,-4.430660247802734
im5,3,8,0.04158163443207741,0.6127819418907166,0.7368420958518982,2.0,-1.0,44.32515335083008,0.582524299621582,0.8111110925674438,0.21022987365722656,0.7777777314186096,-0.5741937160491943,-2.0042686462402344,-3.7061879634857178,-5.249431610107422
im5,4,9,0.03698979690670967,0.5069929957389832,0.5909090638160706,1.0,0.0,30.041379928588867,0.5508021116256714,0.34259259700775146,0.2550511360168457,0.5714285373687744,-0.5493177771568298,-1.528405785560608,-2.0392072200775146,-2.5264830589294434
im6,0,8,0.049234695732593536,0.5676470398902893,0.8500000238418579,2.0,-1.0,45.78238296508789,0.5196850299835205,0.4296296238899231,0.2056272029876709,0.666666567325592,-0.5725241899490356,-2.0962116718292236,-3.432952642440796,-4.024365425109863
im6,1,5,0.021173469722270966,0.2881944477558136,0.8888888955116272,0.0,1.0,44.83132553100586,0.18571428954601288,0.18571428954601288,0.2535514235496521,0.7999999523162842,-0.3243899941444397,-0.8733049035072327,-3.2944540977478027,-3.788644790649414
im6,2,2,0.02857142873108387,0.47863247990608215,0.7222222089767456,0.0,1.0,33.22321319580078,0.4000000059604645,0.43589743971824646,0.2505326569080353,0.8571428060531616,-0.5020205974578857,-1.6744976043701172,-2.73071026802063,-5.213695526123047
im6,3,8,0.0346938781440258,0.5964912176132202,0.6315789222717285,2.0,-1.0,42.47058868408203,0.7894737124443054,0.699999988079071,0.22263970971107483,0.5882352590560913,-0.5674166679382324,-1.8086094856262207,-3.8148229122161865,-4.778929233551025
im6,4,9,0.029591836035251617,0.5021644830703735,0.523809552192688,1.0,0.0,39.86206817626953,0.6338028311729431,0.2677595615386963,0.2332829236984253,0.6428570747375488,-0.4693087339401245,-1.4238897562026978,-2.3347535133361816,-3.141800880432129
im7,0,6,0.04056122526526451,0.5299999713897705,0.75,1.0,0.0,43.32704544067383,0.5,0.4722222089767456,0.22699935734272003,0.8749999403953552,-0.5623212456703186,-2.1262848377227783,-2.8781275749206543,-3.675443172454834
im7,1,4,0.042602039873600006,0.5154321193695068,1.0,1.0,0.0,24.526947021484375,0.3801652789115906,0.3916666805744171,0.25852343440055847,1.153846025466919,-0.6569961309432983,-1.9188063144683838,-2.870797634124756,-3.7678139209747314
im7,2,0,0.025510204955935478,0.37593984603881836,0.7368420958518982,1.0,0.0,70.55999755859375,0.25,0.25,0.2144264131784439,0.6666666269302368,-0.29015785455703735,-1.2622445821762085,-4.032899379730225,-4.4171953201293945
im7,3,9,0.04642857238650322,0.5515151619911194,0.6818181872367859,1.0,0.0,34.29121017456055,0.6177777647972107,0.4560000002384186,0.22643090784549713,0.7222221493721008,-0.5763814449310303,-1.9474401473999023,-2.7147045135498047,-3.6612794399261475
im7,4,0,0.03494897857308388,0.422839492559433,1.0,1.0,0.0,44.40876007080078,0.2017543911933899,0.19130434095859528,0.22050093114376068,0.916666567325592,-0.4393705427646637,-1.4188634157180786,-4.0527119636535645,-5.020836353302002
im8,0,9,0.031122449785470963,0.4236111044883728,0.8888888955116272,1.0,0.0,34.63114929199219,0.2978723347187042,0.25773194432258606,0.24048006534576416,0.8333332538604736,-0.5284651517868042,-1.4653204679489136,-2.8012375831604004,-3.8189077377319336
im8,1,3,0.03265305981040001,0.501960813999176,0.8823529481887817,1.0,0.0,40.5,0.3617021143436432,0.42222222685813904,0.23682546615600586,0.8571428060531616,-0.5659409761428833,-1.6745243072509766,-3.1227657794952393,-3.9875972270965576
im8,2,5,0.04285714402794838,0.42424243688583374,0.8181818127632141,0.0,1.0,43.005950927734375,0.3440000116825104,0.3333333432674408,0.21722644567489624,0.8666665554046631,-0.4548940658569336,-1.4349442720413208,-3.0663652420043945,-3.5734806060791016
im8,3,3,0.030612245202064514,0.4858299493789673,0.6842105388641357,0.0,1.0,36.29999923706055,0.46341463923454285,0.48148149251937866,0.24798515439033508,0.7058823108673096,-0.4487229883670807,-1.334792137145996,-2.1984996795654297,-3.0740222930908203
im8,4,1,0.021173469722270966,0.41499999165534973,0.5,0.0,1.0,24.39759063720703,0.23880596458911896,0.296875,0.30212557315826416,0.4999999701976776,-0.35419273376464844,-0.8289380669593811,-1.9838309288024902,-2.4646646976470947
im9,0,3,0.027295919135212898,0.5095238089561462,0.9333333373069763,0.0,1.0,27.252336502075195,0.32098764181137085,0.44594594836235046,0.2764827013015747,0.916666567325592,-0.5519819259643555,-1.6983654499053955,-2.5729475021362305,-2.997812271118164
im9,1,2,0.02908163331449032,0.5066666603088379,1.0,1.0,0.0,48.03508758544922,0.3255814015865326,0.2808988690376282,0.235555499792099,1.0909090042114258,-0.5524027943611145,-1.7043315172195435,-3.5286312103271484,-4.318769931793213
im9,2,3,0.022448979318141937,0.38596490025520325,0.6315789222717285,0.0,1.0,35.6363639831543,0.35384616255760193,0.3643410801887512,0.2640599310398102,0.8333332538604736,-0.39898449182510376,-1.262522578239441,-1.5676542520523071,-1.9254554510116577
im9,3,5,0.0262755099684,0.4681818187236786,0.550000011920929,0.0,1.0,46.22330093383789,0.31210190057754517,0.2261904776096344,0.24194300174713135,0.8333332538604736,-0.39302653074264526,-1.2446492910385132,-2.5813910961151123,-2.6946535110473633
im9,4,0,0.025510204955935478,0.4385964870452881,0.6315789222717285,1.0,0.0,64.0,0.28205129504203796,0.2738853394985199,0.2224263995885849,0.6666666269302368,-0.3522748053073883,-1.2931571006774902,-4.405200481414795,-3.716043472290039
